name,BaC,Ctv,LaV,Lig,PtC,PtP,SLG,SnE,SnF,SnI,StR,TsS,CP,LF,PL,SenBas,Seri,SG,SI,SN,TS
BaC,0.0,23.91430239049571,9.052676,9.71615,12.38248,6.539983,25.092693953891015,7.922799,28.380579140020448,6.95713,6.766322,27.635335064545398,26.35827388312645,26.330422071617058,23.94524759486797,26.916810270079644,22.409636782774818,24.860100964599777,22.753172962762985,21.456074322389544,27.66896172222699
Ctv,23.91430239049571,0.0,21.689486143331766,24.150141844468422,23.655618598404004,2.655055,1.383612,25.452490327149107,2.696431,22.59258279486736,24.029121404041746,21.60235291566425,24.026859635211604,22.155057552521225,27.61994173588094,6.50686,26.719356927112926,25.35998735247943,24.709543875934827,24.16690178908778,23.769115388382463
LaV,9.052676,21.689486143331766,0.0,12.07282,12.80017,24.001138459369976,27.513681590659576,8.49112,10.38688,23.867057540898454,23.469879792553616,8.267106,27.230871784312654,27.669388197841712,21.746013997854075,21.78363201735506,25.003448805176955,27.22858222649701,28.333857166461797,24.110712630916925,26.850705755064087
Lig,9.71615,24.150141844468422,12.07282,0.0,14.22483,27.89320688840068,23.885240846601956,26.935493662954322,27.837275520847946,9.273806,9.026984,12.80184,27.629493941190795,25.215379178820566,26.620554025951932,27.236161568858016,23.194860870782577,25.580649327322647,23.09378373586862,22.135195336860335,26.30639604213367
PtC,12.38248,23.655618598404004,12.80017,14.22483,0.0,22.674164401347912,21.62187719214075,12.39859,26.5767151549612,28.03174865911633,11.93834,12.58404,23.811360287664556,21.857133152801815,24.147421060575745,13.98413,25.34939678263487,25.79079927840981,26.22744223772627,23.167515530832564,28.213964844214853
PtP,6.539983,2.655055,24.001138459369976,27.89320688840068,22.674164401347912,0.0,21.679618505787538,21.58724009639152,2.984673,4.434012,28.249779309413096,23.3904607440797,24.513529458502493,27.910420387937002,21.714389916070946,6.568057,28.416723810772325,23.930856825874578,25.058633965277387,28.096796443314936,27.201384127540923
SLG,25.092693953891015,1.383612,27.513681590659576,23.885240846601956,21.62187719214075,21.679618505787538,0.0,27.649023590330327,2.999361,4.575605,23.841141657768258,22.773788806392705,21.510913303305323,24.203370184108877,23.667072728350306,28.315667142458114,24.21467458186012,26.911212062760697,24.947219352986227,24.308094396273912,26.163275246842147
SnE,7.922799,25.452490327149107,8.49112,26.935493662954322,12.39859,21.58724009639152,27.649023590330327,0.0,25.243603857804768,25.827540907581437,7.570517,9.94686,25.681049615093347,24.297108671890808,27.491107939054153,25.690075889759623,22.70821798476121,21.344526931675396,25.482414500209877,22.016651926247906,28.04943580077654
SnF,28.380579140020448,2.696431,10.38688,27.837275520847946,26.5767151549612,2.984673,2.999361,25.243603857804768,0.0,4.821284,21.98244675129437,26.36664789906385,23.070325711694643,27.210865736898683,23.485006452669754,28.217154378373912,28.12376874937303,23.838492750165464,24.24768808737146,24.569905399264364,21.948018263394786
SnI,6.95713,22.59258279486736,23.867057540898454,9.273806,28.03174865911633,4.434012,4.575605,25.827540907581437,4.821284,0.0,7.665717,21.78424003944087,26.095501583194043,23.914731286376185,24.18808013650723,27.918460378937898,27.31966569537639,26.476270572695952,21.572418993313235,22.116585148618544,26.769237219142944
