"from","to","weight","from_name","from_size","from_color","from_Region","from_Latitude","from_Longitude","to_name","to_size","to_color","to_Region","to_Latitude","to_Longitude"
1,3,9.052676,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99
1,4,9.71615,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"Lig",4.731355,"#FDAE61",1,25.73,-111.27
1,5,12.38248,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"PtC",4.684652,"#FDAE61",1,24.19,-111.15
1,6,6.539983,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"PtP",10.925375,"#FDAE61",1,29.03,-113.9
1,8,7.922799,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"SnE",11.82822,"#FDAE61",1,24.45,-110.7
1,10,6.95713,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"SnI",5.466695,"#FDAE61",1,27.29,-113.02
1,11,6.766322,"BaC",12.15881,"#FDAE61",1,26.59,-111.79,"StR",6.859545,"#FDAE61",1,24.91,-111.62
2,6,2.655055,"Ctv",3.880886,"#FDAE61",1,29.73,-114.72,"PtP",10.925375,"#FDAE61",1,29.03,-113.9
2,7,1.383612,"Ctv",3.880886,"#FDAE61",1,29.73,-114.72,"SLG",5.955645,"#FDAE61",1,29.59,-114.4
2,9,2.696431,"Ctv",3.880886,"#FDAE61",1,29.73,-114.72,"SnF",6.325655,"#FDAE61",1,30.76,-114.73
2,16,6.50686,"Ctv",3.880886,"#FDAE61",1,29.73,-114.72,"SenBas",9.116705,"#B1C3D2",2,31.95,-112.87
3,4,12.07282,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99,"Lig",4.731355,"#FDAE61",1,25.73,-111.27
3,5,12.80017,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99,"PtC",4.684652,"#FDAE61",1,24.19,-111.15
3,8,8.49112,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99,"SnE",11.82822,"#FDAE61",1,24.45,-110.7
3,9,10.38688,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99,"SnF",6.325655,"#FDAE61",1,30.76,-114.73
3,12,8.267106,"LaV",3.5337565,"#FDAE61",1,24.04,-109.99,"TsS",5.29057,"#FDAE61",1,23.58,-110.34
4,5,14.22483,"Lig",4.731355,"#FDAE61",1,25.73,-111.27,"PtC",4.684652,"#FDAE61",1,24.19,-111.15
4,10,9.273806,"Lig",4.731355,"#FDAE61",1,25.73,-111.27,"SnI",5.466695,"#FDAE61",1,27.29,-113.02
