"","BaC","Ctv","LaV","Lig","PtC","PtP","SLG","SnE","SnF","SnI","StR","TsS","CP","LF","PL","SenBas","Seri","SG","SI","SN","TS"
"BaC",0,0,9.052676,9.71615,12.38248,6.539983,0,7.922799,0,6.95713,6.766322,0,0,0,0,0,0,0,0,0,0
"Ctv",0,0,0,0,0,2.655055,1.383612,0,2.696431,0,0,0,0,0,0,6.50686,0,0,0,0,0
"LaV",9.052676,0,0,12.07282,12.80017,0,0,8.49112,10.38688,0,0,8.267106,0,0,0,0,0,0,0,0,0
"Lig",9.71615,0,12.07282,0,14.22483,0,0,0,0,9.273806,9.026984,12.80184,0,0,0,0,0,0,0,0,0
"PtC",12.38248,0,12.80017,14.22483,0,0,0,12.39859,0,0,11.93834,12.58404,0,0,0,13.98413,0,0,0,0,0
"PtP",6.539983,2.655055,0,0,0,0,0,0,2.984673,4.434012,0,0,0,0,0,6.568057,0,0,0,0,0
"SLG",0,1.383612,0,0,0,0,0,0,2.999361,4.575605,0,0,0,0,0,0,0,0,0,0,0
"SnE",7.922799,0,8.49112,0,12.39859,0,0,0,0,0,7.570517,9.94686,0,0,0,0,0,0,0,0,0
"SnF",0,2.696431,10.38688,0,0,2.984673,2.999361,0,0,4.821284,0,0,0,0,0,0,0,0,0,0,0
"SnI",6.95713,0,0,9.273806,0,4.434012,4.575605,0,4.821284,0,7.665717,0,0,0,0,0,0,0,0,0,0
"StR",6.766322,0,0,9.026984,11.93834,0,0,7.570517,0,7.665717,0,10.13719,0,0,0,9.111798,0,0,0,0,0
"TsS",0,0,8.267106,12.80184,12.58404,0,0,9.94686,0,0,10.13719,0,0,0,0,0,0,0,0,0,0
"CP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.773351,3.988562,0,4.143565,4.269119
"LF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.418533,0,0,2.854111,3.127624,0,0
"PL",0,0,0,0,0,0,0,0,0,0,0,0,0,2.418533,0,9.17615,0,3.533888,2.915417,4.867766,0
"SenBas",0,6.50686,0,0,13.98413,6.568057,0,0,0,0,9.111798,0,0,0,9.17615,0,0,0,0,0,0
"Seri",0,0,0,0,0,0,0,0,0,0,0,0,2.773351,0,0,0,0,3.414492,0,3.569675,0
"SG",0,0,0,0,0,0,0,0,0,0,0,0,3.988562,2.854111,3.533888,0,3.414492,0,3.837508,0,0
"SI",0,0,0,0,0,0,0,0,0,0,0,0,0,3.127624,2.915417,0,0,3.837508,0,4.87534,4.558169
"SN",0,0,0,0,0,0,0,0,0,0,0,0,4.143565,0,4.867766,0,3.569675,0,4.87534,0,4.672005
"TS",0,0,0,0,0,0,0,0,0,0,0,0,4.269119,0,0,0,0,0,4.558169,4.672005,0
