name,BaC,Ctv,LaV,Lig,PtC,PtP,SLG,SnE,SnF,SnI,StR,TsS,CP,LF,PL,SenBas,Seri,SG,SI,SN,TS
BaC,0.0,31.433410170950314,9.052676,9.71615,12.38248,6.539983,48.77867389786704,7.922799,14.566501949739369,6.95713,6.766322,37.09255911466934,38.24193047405396,17.191487627511425,25.705886654980596,52.745862923862106,20.283124308351855,22.61122902773313,49.09199779052908,22.88895007226243,24.711966973006856
Ctv,31.433410170950314,0.0,24.144992972534546,17.440080228148297,15.763701739367248,2.655055,1.383612,14.984204993985227,2.696431,53.0143514317766,36.1345208306632,56.035591395178926,52.13593420017774,51.07980619016642,46.13101588277979,6.50686,36.26516183698583,52.596510838763606,41.19591424196399,34.48308721345526,35.52720088732366
LaV,9.052676,24.144992972534546,0.0,12.07282,12.80017,48.84961406283837,55.96708219816071,8.49112,10.38688,49.668021234044474,34.24919309864137,8.267106,22.72323064467336,47.672843583011385,21.690464693372856,35.953579548359976,23.70257240180557,48.685090930215026,42.40577909804426,44.145505825649145,30.563884955388154
Lig,9.71615,17.440080228148297,12.07282,0.0,14.22483,32.53166594967648,33.225693140907495,35.944069693861934,30.22827068077461,9.273806,9.026984,12.80184,16.692349431326758,38.45838357873857,42.34675348479677,52.09668629799391,48.990697164182876,45.0897158913544,56.16653933638149,20.83712082468878,19.38716800305111
PtC,12.38248,15.763701739367248,12.80017,14.22483,0.0,27.049082559425216,20.362289594350983,12.39859,48.73537643846866,18.60320307971469,11.93834,12.58404,30.55552747057342,35.172962797149076,23.232687099159428,13.98413,50.67978165679287,50.439016224518284,35.54444358691586,18.88917190621703,52.43937684074382
PtP,6.539983,2.655055,48.84961406283837,32.53166594967648,27.049082559425216,0.0,55.928490695548135,24.11970024117997,2.984673,4.434012,47.96933196150384,56.28521980916675,34.87762293131655,18.797151689286746,56.198282929938486,6.568057,32.042160437724895,52.98851392591348,49.93415009018642,33.784015343654815,36.74155510417698
SLG,48.77867389786704,1.383612,55.96708219816071,33.225693140907495,20.362289594350983,55.928490695548135,0.0,39.794365911274895,2.999361,4.575605,34.35201637237928,17.164659318998872,52.72125142747173,17.032036985320122,17.724209821110122,39.748700450630835,28.98325976551049,34.51498566615391,33.53019545517715,47.977058322890954,30.5667849713633
SnE,7.922799,14.984204993985227,8.49112,35.944069693861934,12.39859,24.11970024117997,39.794365911274895,0.0,25.31132161940493,53.44666535764689,7.570517,9.94686,24.765546515416233,55.364635585192275,49.19917256478125,30.071377759361397,55.644489870753574,25.73015855065073,32.10573543716255,15.231233443191392,19.554422945638187
SnF,14.566501949739369,2.696431,10.38688,30.22827068077461,48.73537643846866,2.984673,2.999361,25.31132161940493,0.0,4.821284,40.272256849439614,20.391870692513002,27.711551865178812,38.22978022283141,25.80518301148271,53.08946472102147,16.927388353458042,53.881657780368414,25.395397655072706,18.292670899530442,50.253747778506394
SnI,6.95713,53.0143514317766,49.668021234044474,9.273806,18.60320307971469,4.434012,4.575605,53.44666535764689,4.821284,0.0,7.665717,55.56254326712664,20.8485652479935,14.267141663893634,24.65428861209765,47.507379885087886,55.7702731338525,22.977849422353728,27.10333215484406,29.84834694608156,45.38305833820627
StR,6.766322,36.1345208306632,34.24919309864137,9.026984,11.93834,47.96933196150384,34.35201637237928,7.570517,40.272256849439614,7.665717,0.0,10.13719,43.360676797916895,43.76764029007467,19.39553226623522,9.111798,22.048551843603605,53.97647741700227,32.91600536902344,15.918904596006936,52.03193310373672
TsS,37.09255911466934,56.035591395178926,8.267106,12.80184,12.58404,56.28521980916675,17.164659318998872,9.94686,20.391870692513002,55.56254326712664,10.13719,0.0,27.050000094592157,30.697527455292718,45.73068190570016,33.546594247283394,34.38580572151129,48.646532653301605,18.415482709385213,54.051561193350196,51.930323390414046
CP,38.24193047405396,52.13593420017774,22.72323064467336,16.692349431326758,30.55552747057342,34.87762293131655,52.72125142747173,24.765546515416233,27.711551865178812,20.8485652479935,43.360676797916895,27.050000094592157,0.0,52.807531130218635,18.3710229416376,29.701553736809743,2.773351,3.988562,19.634482624680505,4.143565,4.269119
LF,17.191487627511425,51.07980619016642,47.672843583011385,38.45838357873857,35.172962797149076,18.797151689286746,17.032036985320122,55.364635585192275,38.22978022283141,14.267141663893634,43.76764029007467,30.697527455292718,52.807531130218635,0.0,2.418533,38.47824035890026,24.910176695460976,2.854111,3.127624,35.20532160612558,54.86810896511007
PL,25.705886654980596,46.13101588277979,21.690464693372856,42.34675348479677,23.232687099159428,56.198282929938486,17.724209821110122,49.19917256478125,25.80518301148271,24.65428861209765,19.39553226623522,45.73068190570016,18.3710229416376,2.418533,0.0,9.17615,46.978673236959736,3.533888,2.915417,4.867766,48.217036028973325
SenBas,52.745862923862106,6.50686,35.953579548359976,52.09668629799391,13.98413,6.568057,39.748700450630835,30.071377759361397,53.08946472102147,47.507379885087886,9.111798,33.546594247283394,29.701553736809743,38.47824035890026,9.17615,0.0,23.974650962509898,42.90034003008562,14.52768201766358,25.474738727942544,40.07096750205213
Seri,20.283124308351855,36.26516183698583,23.70257240180557,48.990697164182876,50.67978165679287,32.042160437724895,28.98325976551049,55.644489870753574,16.927388353458042,55.7702731338525,22.048551843603605,34.38580572151129,2.773351,24.910176695460976,46.978673236959736,23.974650962509898,0.0,3.414492,54.392031801702075,3.569675,47.50694929809265
SG,22.61122902773313,52.596510838763606,48.685090930215026,45.0897158913544,50.439016224518284,52.98851392591348,34.51498566615391,25.73015855065073,53.881657780368414,22.977849422353728,53.97647741700227,48.646532653301605,3.988562,2.854111,3.533888,42.90034003008562,3.414492,0.0,3.837508,15.851533091541889,41.87019041376906
SI,49.09199779052908,41.19591424196399,42.40577909804426,56.16653933638149,35.54444358691586,49.93415009018642,33.53019545517715,32.10573543716255,25.395397655072706,27.10333215484406,32.91600536902344,18.415482709385213,19.634482624680505,3.127624,2.915417,14.52768201766358,54.392031801702075,3.837508,0.0,4.87534,4.558169
SN,22.88895007226243,34.48308721345526,44.145505825649145,20.83712082468878,18.88917190621703,33.784015343654815,47.977058322890954,15.231233443191392,18.292670899530442,29.84834694608156,15.918904596006936,54.051561193350196,4.143565,35.20532160612558,4.867766,25.474738727942544,3.569675,15.851533091541889,4.87534,0.0,4.672005
TS,24.711966973006856,35.52720088732366,30.563884955388154,19.38716800305111,52.43937684074382,36.74155510417698,30.5667849713633,19.554422945638187,50.253747778506394,45.38305833820627,52.03193310373672,51.930323390414046,4.269119,54.86810896511007,48.217036028973325,40.07096750205213,47.50694929809265,41.87019041376906,4.558169,4.672005,0.0
